id,employed,happy
1,1,1
2,0,0
3,1,0
4,1,1
5,1,1
6,1,1
7,0,0
8,1,0
9,1,1
10,1,1
11,1,1
12,0,0
13,0,0
14,0,0
15,0,1
16,1,0
17,0,1
18,0,1
19,1,1
20,0,1
21,1,0
22,1,0
23,1,0
24,1,1
25,1,1
26,1,0
27,0,0
28,0,0
29,0,1
30,0,0
31,1,0
32,1,0
33,1,1
34,1,0
35,1,0
36,1,0
37,1,1
38,0,1
39,1,1
40,1,0
41,1,0
42,1,0
43,1,1
44,1,1
45,0,0
46,1,0
47,1,1
48,0,0
49,1,1
50,1,1
51,0,1
52,1,0
53,1,0
54,1,0
55,0,0
56,0,0
57,1,0
58,0,1
59,1,0
60,1,1
61,1,0
62,1,0
63,1,0
64,1,1
65,0,0
66,1,1
67,1,0
68,1,1
69,1,1
70,0,0
71,1,1
72,1,0
73,0,0
74,1,0
75,1,0
76,1,1
77,1,1
78,1,1
79,1,0
80,1,1
81,1,1
82,1,1
83,1,0
84,0,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,0,1
91,1,1
92,1,0
93,0,1
94,1,0
95,1,1
96,1,0
97,1,1
98,1,0
99,0,1
100,1,0
