id,employed,happy
1,0,0
2,0,0
3,0,1
4,1,0
5,0,0
6,1,0
7,1,0
8,0,0
9,1,1
10,0,0
11,1,0
12,0,0
13,1,1
14,0,1
15,0,0
16,1,0
17,1,1
18,1,0
19,1,1
20,1,0
21,1,0
22,1,1
23,1,1
24,1,0
25,1,1
26,0,0
27,1,1
28,1,1
29,1,0
30,1,0
31,0,1
32,1,1
33,1,0
34,0,0
35,1,0
36,1,0
37,0,1
38,1,0
39,1,0
40,1,0
41,1,1
42,1,0
43,1,0
44,1,1
45,1,1
46,1,0
47,0,1
48,1,0
49,1,0
50,0,1
51,1,0
52,1,0
53,1,0
54,0,1
55,1,1
56,1,1
57,1,0
58,0,0
59,0,0
60,1,1
61,0,1
62,1,1
63,1,0
64,0,0
65,1,1
66,1,0
67,1,0
68,0,1
69,0,1
70,0,1
71,1,0
72,0,0
73,1,0
74,0,1
75,0,1
76,0,1
77,0,0
78,0,0
79,1,1
80,0,0
81,0,1
82,1,0
83,1,1
84,1,1
85,1,1
86,1,0
87,1,0
88,1,0
89,0,1
90,1,1
91,0,0
92,1,1
93,0,1
94,0,1
95,1,0
96,0,1
97,1,0
98,1,0
99,1,1
100,1,0
