id,employed,happy
1,1,0
2,1,0
3,1,0
4,1,0
5,1,1
6,1,0
7,0,0
8,1,1
9,1,0
10,1,0
11,1,0
12,1,1
13,0,0
14,1,0
15,1,0
16,0,1
17,1,1
18,0,0
19,1,0
20,1,0
21,0,1
22,1,1
23,1,0
24,0,0
25,1,1
26,1,1
27,1,0
28,1,0
29,1,0
30,1,0
31,1,1
32,1,1
33,1,1
34,1,0
35,1,0
36,0,1
37,1,0
38,0,1
39,1,0
40,0,1
41,0,1
42,1,1
43,1,0
44,1,0
45,0,1
46,1,0
47,1,0
48,0,1
49,0,0
50,1,1
51,1,1
52,1,0
53,1,0
54,1,1
55,1,0
56,1,0
57,1,1
58,0,1
59,1,1
60,1,1
61,1,1
62,1,0
63,1,1
64,1,0
65,1,1
66,1,1
67,1,1
68,1,0
69,0,0
70,0,1
71,1,0
72,1,0
73,0,1
74,1,0
75,1,0
76,1,0
77,1,1
78,1,0
79,0,0
80,0,0
81,1,1
82,1,1
83,0,1
84,0,0
85,0,1
86,1,0
87,1,0
88,1,1
89,1,1
90,1,1
91,0,1
92,0,0
93,1,0
94,1,0
95,1,1
96,1,0
97,1,0
98,1,0
99,1,0
100,1,1
