id,employed,happy
1,1,0
2,1,0
3,1,0
4,0,1
5,0,0
6,1,0
7,0,0
8,0,0
9,1,1
10,1,1
11,1,0
12,1,1
13,0,1
14,0,1
15,1,0
16,1,1
17,0,0
18,0,0
19,1,0
20,1,1
21,1,1
22,1,1
23,1,0
24,1,1
25,1,1
26,1,1
27,0,0
28,0,0
29,0,1
30,0,0
31,1,1
32,1,1
33,1,1
34,1,1
35,0,1
36,1,1
37,0,1
38,1,0
39,0,0
40,1,0
41,0,0
42,0,0
43,1,1
44,1,0
45,0,1
46,1,1
47,1,1
48,1,1
49,1,0
50,0,1
51,1,1
52,1,1
53,1,1
54,0,0
55,1,0
56,1,0
57,1,1
58,1,1
59,1,0
60,1,1
61,1,0
62,0,0
63,1,0
64,1,1
65,1,1
66,1,0
67,0,0
68,1,0
69,1,1
70,1,1
71,1,1
72,0,1
73,1,0
74,1,1
75,1,0
76,0,1
77,1,1
78,1,1
79,1,0
80,1,1
81,0,1
82,1,1
83,0,0
84,1,0
85,1,0
86,1,0
87,0,0
88,1,0
89,0,1
90,1,1
91,0,0
92,1,0
93,0,1
94,0,1
95,0,1
96,0,0
97,1,0
98,1,0
99,1,0
100,0,1
