id,employed,happy
1,0,0
2,1,0
3,1,0
4,0,0
5,1,0
6,1,0
7,0,0
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,0
14,1,1
15,1,0
16,0,1
17,1,0
18,1,0
19,1,0
20,1,0
21,1,1
22,1,0
23,1,1
24,1,1
25,1,1
26,0,0
27,1,0
28,1,1
29,1,0
30,1,0
31,0,0
32,0,1
33,1,1
34,1,1
35,1,1
36,1,0
37,1,1
38,1,0
39,1,1
40,1,0
41,1,1
42,1,1
43,0,0
44,1,0
45,1,0
46,1,0
47,0,1
48,1,0
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,1
56,1,1
57,1,0
58,1,0
59,1,1
60,1,0
61,1,0
62,1,0
63,1,0
64,1,0
65,1,1
66,1,1
67,1,0
68,1,1
69,1,0
70,1,1
71,1,1
72,1,1
73,1,0
74,1,1
75,0,0
76,0,0
77,1,1
78,1,1
79,1,0
80,1,0
81,0,0
82,1,1
83,1,1
84,1,1
85,1,1
86,0,0
87,1,0
88,1,1
89,0,0
90,1,0
91,0,1
92,1,1
93,1,0
94,0,1
95,1,1
96,1,0
97,0,1
98,1,1
99,1,0
100,1,1
