id,employed,happy
1,1,1
2,1,0
3,1,0
4,0,0
5,1,0
6,1,0
7,1,1
8,1,0
9,1,0
10,0,1
11,0,0
12,1,1
13,1,0
14,0,1
15,0,0
16,1,0
17,1,0
18,1,1
19,1,0
20,1,0
21,1,1
22,1,1
23,1,1
24,0,0
25,1,1
26,0,0
27,1,1
28,1,1
29,0,1
30,0,1
31,1,1
32,1,1
33,1,0
34,1,0
35,1,1
36,1,1
37,1,1
38,1,0
39,1,1
40,1,1
41,0,1
42,1,0
43,1,0
44,1,1
45,1,0
46,1,0
47,1,0
48,1,1
49,1,1
50,1,1
51,1,0
52,1,1
53,1,0
54,1,0
55,1,1
56,0,1
57,0,1
58,1,1
59,0,0
60,1,1
61,1,0
62,0,1
63,0,0
64,1,1
65,0,0
66,1,1
67,1,0
68,1,0
69,1,0
70,1,1
71,1,0
72,0,1
73,0,0
74,1,0
75,1,0
76,0,0
77,1,1
78,1,0
79,1,0
80,1,1
81,1,1
82,1,0
83,1,1
84,1,1
85,1,0
86,1,1
87,0,1
88,0,1
89,0,1
90,1,0
91,1,1
92,1,1
93,1,1
94,0,1
95,1,0
96,1,1
97,1,0
98,1,1
99,1,0
100,1,0
