id,employed,happy
1,0,1
2,1,0
3,1,0
4,1,1
5,1,1
6,0,0
7,1,0
8,1,1
9,0,0
10,1,1
11,1,0
12,1,0
13,1,0
14,1,0
15,1,1
16,1,0
17,0,1
18,1,1
19,0,1
20,1,1
21,1,0
22,1,1
23,0,1
24,0,1
25,0,0
26,0,1
27,1,0
28,1,0
29,0,1
30,1,0
31,1,0
32,1,0
33,1,1
34,1,0
35,1,1
36,1,0
37,0,0
38,0,1
39,0,0
40,1,0
41,0,1
42,0,1
43,0,1
44,1,0
45,0,0
46,0,0
47,1,1
48,1,1
49,1,1
50,1,1
51,1,0
52,0,0
53,1,1
54,1,1
55,1,1
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,1
62,1,1
63,1,1
64,1,1
65,1,0
66,1,0
67,1,0
68,1,1
69,1,0
70,0,1
71,0,1
72,1,0
73,0,1
74,0,0
75,1,0
76,1,1
77,1,1
78,1,0
79,1,0
80,1,1
81,1,0
82,0,1
83,1,1
84,1,1
85,0,1
86,1,0
87,0,0
88,0,0
89,1,0
90,0,1
91,1,0
92,1,0
93,0,1
94,1,1
95,1,0
96,0,0
97,1,0
98,1,1
99,1,1
100,1,1
