id,employed,happy
1,1,0
2,0,0
3,1,0
4,1,1
5,1,1
6,1,1
7,1,0
8,1,0
9,1,0
10,1,1
11,0,0
12,1,0
13,0,1
14,1,1
15,1,1
16,0,0
17,0,1
18,1,0
19,1,1
20,1,1
21,1,1
22,0,1
23,0,1
24,0,0
25,1,0
26,0,1
27,1,0
28,1,0
29,1,1
30,1,1
31,1,1
32,1,0
33,1,1
34,0,1
35,1,0
36,0,0
37,1,1
38,1,1
39,1,1
40,1,1
41,1,0
42,1,0
43,1,0
44,0,1
45,1,1
46,1,1
47,1,1
48,1,0
49,1,0
50,0,0
51,1,0
52,1,1
53,0,0
54,0,0
55,0,1
56,1,1
57,0,1
58,1,1
59,0,1
60,1,1
61,1,1
62,1,0
63,1,1
64,0,0
65,1,0
66,1,0
67,1,1
68,1,0
69,0,0
70,1,0
71,1,0
72,1,0
73,1,1
74,1,0
75,1,1
76,1,0
77,0,1
78,0,0
79,1,0
80,0,0
81,1,0
82,1,1
83,0,0
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,0
91,0,0
92,1,0
93,1,0
94,0,1
95,1,0
96,1,1
97,1,0
98,0,0
99,1,1
100,0,0
