id,employed,happy
1,1,1
2,1,1
3,1,0
4,1,0
5,1,1
6,1,1
7,0,1
8,0,1
9,0,0
10,0,0
11,1,0
12,0,0
13,1,0
14,1,0
15,0,1
16,0,1
17,1,0
18,1,1
19,1,0
20,1,0
21,1,1
22,0,1
23,0,0
24,1,1
25,0,0
26,1,1
27,1,0
28,1,0
29,1,0
30,1,1
31,1,1
32,1,0
33,0,0
34,0,1
35,1,1
36,1,0
37,0,1
38,1,0
39,1,0
40,1,0
41,1,1
42,1,0
43,0,0
44,1,1
45,0,1
46,1,1
47,1,1
48,0,1
49,1,0
50,0,1
51,1,0
52,0,0
53,1,0
54,1,1
55,1,1
56,1,0
57,1,0
58,1,1
59,0,1
60,1,0
61,1,0
62,0,1
63,0,0
64,1,1
65,1,0
66,1,0
67,0,0
68,0,0
69,1,1
70,0,1
71,1,1
72,1,0
73,1,0
74,0,1
75,1,1
76,1,1
77,1,1
78,0,0
79,1,1
80,0,1
81,1,0
82,1,0
83,1,1
84,1,1
85,1,0
86,1,0
87,1,1
88,1,1
89,1,0
90,1,0
91,1,0
92,1,1
93,1,0
94,1,1
95,1,1
96,1,1
97,1,0
98,0,0
99,1,1
100,1,0
