id,employed,happy
1,1,1
2,0,1
3,1,1
4,1,1
5,1,1
6,1,1
7,0,0
8,1,0
9,1,0
10,0,1
11,1,0
12,1,0
13,1,0
14,1,1
15,1,1
16,1,0
17,1,1
18,1,0
19,1,0
20,1,1
21,1,1
22,0,0
23,1,1
24,0,0
25,0,1
26,1,0
27,1,1
28,1,0
29,1,0
30,1,0
31,0,1
32,1,0
33,1,1
34,1,1
35,0,0
36,1,0
37,0,0
38,1,0
39,1,1
40,1,1
41,1,1
42,1,0
43,1,1
44,1,1
45,1,0
46,1,1
47,1,0
48,1,1
49,1,0
50,1,1
51,1,1
52,1,1
53,1,1
54,1,0
55,1,0
56,1,1
57,1,0
58,1,1
59,1,1
60,1,0
61,1,0
62,1,1
63,1,1
64,1,0
65,1,0
66,0,1
67,0,1
68,1,1
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,1
75,0,1
76,0,1
77,1,0
78,1,0
79,1,1
80,1,0
81,1,0
82,1,1
83,0,0
84,1,1
85,1,1
86,1,0
87,1,1
88,0,1
89,0,0
90,1,0
91,1,0
92,1,1
93,1,0
94,1,1
95,1,0
96,1,0
97,0,1
98,0,0
99,0,0
100,1,0
