id,employed,happy
1,1,0
2,0,1
3,1,0
4,1,0
5,1,1
6,0,0
7,1,0
8,1,1
9,1,0
10,0,1
11,0,0
12,0,1
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,1
19,0,0
20,1,0
21,0,0
22,0,1
23,1,1
24,0,0
25,1,1
26,0,0
27,1,0
28,0,0
29,1,0
30,1,0
31,0,1
32,1,1
33,1,1
34,1,0
35,0,0
36,0,0
37,1,0
38,1,1
39,0,0
40,1,1
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,0,1
47,0,1
48,1,1
49,0,1
50,0,1
51,0,1
52,1,0
53,0,0
54,1,0
55,1,0
56,1,0
57,1,1
58,1,1
59,1,0
60,1,0
61,0,0
62,1,0
63,1,1
64,0,0
65,1,1
66,1,0
67,1,1
68,1,0
69,1,0
70,1,1
71,1,0
72,1,1
73,1,1
74,0,1
75,0,0
76,1,1
77,1,1
78,1,0
79,1,0
80,1,1
81,1,0
82,1,1
83,0,1
84,1,1
85,1,1
86,1,1
87,1,0
88,0,0
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,1
95,0,0
96,1,0
97,1,0
98,1,1
99,1,1
100,1,1
