id,employed,happy
1,1,0
2,1,0
3,0,1
4,0,1
5,1,0
6,1,0
7,1,0
8,1,1
9,1,0
10,1,0
11,1,1
12,0,1
13,1,1
14,1,0
15,1,1
16,1,0
17,0,0
18,1,1
19,0,0
20,1,1
21,1,0
22,0,0
23,1,0
24,1,0
25,1,1
26,1,0
27,1,1
28,1,1
29,0,0
30,1,1
31,1,0
32,1,0
33,1,1
34,1,0
35,1,1
36,1,1
37,1,0
38,1,1
39,1,0
40,1,1
41,1,1
42,1,0
43,1,1
44,1,0
45,1,0
46,1,1
47,1,1
48,1,1
49,1,0
50,0,1
51,0,1
52,1,0
53,1,0
54,1,0
55,1,1
56,0,0
57,1,1
58,1,0
59,0,0
60,1,0
61,1,1
62,1,1
63,1,0
64,0,1
65,1,1
66,1,1
67,1,0
68,1,1
69,1,1
70,0,0
71,1,1
72,1,0
73,1,1
74,1,1
75,1,1
76,1,0
77,0,0
78,1,0
79,1,1
80,0,1
81,1,0
82,1,0
83,1,0
84,1,0
85,1,1
86,1,0
87,1,0
88,0,0
89,1,0
90,1,1
91,1,1
92,1,1
93,0,1
94,1,0
95,1,1
96,1,0
97,1,1
98,1,1
99,0,0
100,0,0
