id,employed,happy
1,1,0
2,1,0
3,1,1
4,0,1
5,0,0
6,1,1
7,1,0
8,1,1
9,1,1
10,1,0
11,1,0
12,0,0
13,1,0
14,1,1
15,1,0
16,1,0
17,1,1
18,1,0
19,1,0
20,1,1
21,1,0
22,0,0
23,1,0
24,1,1
25,1,0
26,1,0
27,1,1
28,1,1
29,1,1
30,1,1
31,1,0
32,1,1
33,1,0
34,1,1
35,1,0
36,0,1
37,1,0
38,0,1
39,0,1
40,0,0
41,0,1
42,1,1
43,0,1
44,0,1
45,1,1
46,0,1
47,0,0
48,1,0
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,0,0
55,1,1
56,1,1
57,1,1
58,0,1
59,0,0
60,0,0
61,1,1
62,1,0
63,1,1
64,1,1
65,1,1
66,1,0
67,1,0
68,1,1
69,1,1
70,1,1
71,1,0
72,1,0
73,1,1
74,1,1
75,0,1
76,1,0
77,0,1
78,1,1
79,1,1
80,1,0
81,1,0
82,1,0
83,1,1
84,1,1
85,1,1
86,1,0
87,1,0
88,1,0
89,1,0
90,1,0
91,1,1
92,1,1
93,1,0
94,0,0
95,1,1
96,1,1
97,1,0
98,1,1
99,1,0
100,1,0
