id,employed,happy
1,1,0
2,1,0
3,1,1
4,1,0
5,1,0
6,1,0
7,1,0
8,1,1
9,1,1
10,1,0
11,0,0
12,1,0
13,0,0
14,1,1
15,0,0
16,0,0
17,1,1
18,0,1
19,1,0
20,1,0
21,1,1
22,1,1
23,1,0
24,0,0
25,1,1
26,1,0
27,1,0
28,0,1
29,1,0
30,1,0
31,0,0
32,1,1
33,1,1
34,1,0
35,1,1
36,1,0
37,1,0
38,0,1
39,0,1
40,1,1
41,1,0
42,1,1
43,1,0
44,1,1
45,1,0
46,1,0
47,1,1
48,1,0
49,1,1
50,1,0
51,1,0
52,0,0
53,0,0
54,1,0
55,1,0
56,0,1
57,1,1
58,0,1
59,1,1
60,1,1
61,1,0
62,1,1
63,1,1
64,1,1
65,1,1
66,1,0
67,0,0
68,0,1
69,0,1
70,1,1
71,1,1
72,0,0
73,1,0
74,1,1
75,1,0
76,1,0
77,1,1
78,1,1
79,1,1
80,1,1
81,0,0
82,1,0
83,1,0
84,0,0
85,1,0
86,1,0
87,1,0
88,1,0
89,1,0
90,1,0
91,1,0
92,1,1
93,0,0
94,1,1
95,1,0
96,1,1
97,1,1
98,1,1
99,1,0
100,1,0
