id,employed,happy
1,1,0
2,0,0
3,1,1
4,1,0
5,1,1
6,1,1
7,1,1
8,1,0
9,1,1
10,1,1
11,1,1
12,1,0
13,1,0
14,1,1
15,1,0
16,1,0
17,1,1
18,1,1
19,1,1
20,0,1
21,1,1
22,1,0
23,0,1
24,1,1
25,0,0
26,1,0
27,1,0
28,1,1
29,1,0
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,0,1
37,1,1
38,1,1
39,1,1
40,1,0
41,1,0
42,1,0
43,1,1
44,1,1
45,1,1
46,1,0
47,1,1
48,0,1
49,1,0
50,0,0
51,1,1
52,1,0
53,1,1
54,1,0
55,1,0
56,0,1
57,1,0
58,0,1
59,1,0
60,1,0
61,0,1
62,0,0
63,1,1
64,1,0
65,0,0
66,1,1
67,1,0
68,0,0
69,1,0
70,1,1
71,1,0
72,1,0
73,1,0
74,1,1
75,1,0
76,1,1
77,1,0
78,0,1
79,1,0
80,1,1
81,1,1
82,1,1
83,1,0
84,1,0
85,1,0
86,0,0
87,1,1
88,0,1
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,1
95,1,0
96,0,1
97,1,1
98,1,1
99,0,0
100,1,0
