id,employed,happy
1,0,0
2,0,0
3,1,0
4,0,0
5,1,0
6,1,1
7,1,0
8,1,0
9,1,1
10,0,1
11,0,0
12,1,0
13,1,0
14,1,1
15,1,0
16,1,0
17,1,1
18,0,0
19,0,1
20,1,1
21,1,0
22,1,1
23,1,0
24,1,0
25,1,0
26,1,1
27,1,0
28,1,0
29,1,1
30,0,1
31,1,0
32,1,0
33,0,0
34,0,1
35,0,1
36,1,1
37,0,1
38,0,1
39,1,1
40,1,1
41,1,0
42,1,0
43,0,1
44,1,1
45,1,0
46,0,1
47,1,1
48,1,0
49,1,1
50,0,1
51,1,1
52,1,1
53,1,0
54,0,1
55,0,1
56,0,1
57,1,1
58,1,1
59,0,0
60,1,1
61,0,0
62,1,1
63,1,0
64,1,1
65,1,0
66,1,1
67,1,1
68,0,1
69,0,0
70,1,1
71,1,0
72,1,1
73,1,1
74,1,1
75,1,1
76,1,0
77,1,1
78,1,0
79,1,1
80,1,1
81,1,0
82,1,1
83,1,1
84,1,1
85,1,0
86,1,0
87,1,1
88,0,1
89,0,1
90,1,0
91,0,1
92,1,0
93,1,1
94,0,1
95,1,1
96,1,0
97,1,0
98,1,1
99,0,1
100,1,0
