id,employed,happy
1,1,0
2,1,1
3,0,1
4,0,1
5,1,0
6,1,0
7,1,1
8,1,0
9,1,0
10,1,0
11,0,1
12,0,1
13,0,1
14,1,0
15,0,0
16,1,1
17,0,0
18,0,0
19,0,1
20,1,0
21,1,1
22,1,0
23,0,1
24,1,1
25,0,0
26,1,1
27,1,0
28,1,0
29,1,0
30,1,1
31,1,0
32,1,0
33,0,1
34,1,1
35,0,1
36,1,1
37,1,1
38,0,1
39,1,0
40,0,0
41,0,1
42,1,0
43,0,1
44,1,0
45,1,0
46,1,0
47,1,0
48,1,1
49,1,1
50,1,0
51,1,1
52,0,0
53,1,0
54,1,1
55,1,1
56,1,0
57,1,1
58,1,0
59,1,1
60,1,0
61,1,1
62,1,1
63,1,1
64,1,0
65,1,1
66,0,1
67,1,0
68,1,0
69,1,0
70,1,0
71,1,0
72,1,0
73,0,0
74,0,1
75,0,1
76,1,1
77,1,0
78,0,0
79,0,1
80,0,0
81,1,0
82,1,0
83,1,1
84,1,0
85,1,0
86,0,1
87,1,0
88,1,0
89,1,1
90,1,0
91,1,1
92,1,0
93,1,1
94,0,0
95,1,1
96,1,1
97,0,0
98,0,1
99,1,0
100,0,0
