id,employed,happy
1,1,1
2,1,0
3,1,0
4,1,0
5,1,1
6,0,0
7,0,1
8,1,0
9,1,0
10,0,0
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,0
17,0,1
18,1,0
19,1,1
20,1,0
21,1,0
22,0,0
23,0,0
24,0,0
25,0,1
26,1,0
27,1,0
28,1,1
29,1,1
30,1,0
31,1,1
32,1,1
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,1
39,1,1
40,1,0
41,1,1
42,1,1
43,1,1
44,1,0
45,1,0
46,1,0
47,1,1
48,1,1
49,0,1
50,1,1
51,1,0
52,1,1
53,1,0
54,0,1
55,1,0
56,1,0
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,0
65,1,0
66,1,0
67,0,0
68,1,0
69,1,1
70,1,0
71,1,1
72,1,1
73,1,1
74,0,1
75,0,0
76,1,0
77,1,1
78,1,0
79,1,1
80,1,1
81,0,1
82,1,1
83,1,0
84,1,1
85,1,0
86,1,0
87,1,0
88,1,0
89,1,0
90,1,1
91,1,0
92,1,0
93,0,1
94,1,1
95,1,1
96,1,1
97,1,0
98,0,0
99,1,1
100,1,1
