id,employed,happy
1,0,1
2,1,1
3,1,0
4,1,1
5,1,1
6,1,0
7,0,1
8,1,1
9,0,0
10,1,0
11,1,0
12,1,1
13,1,1
14,0,1
15,1,0
16,1,1
17,0,1
18,1,0
19,0,1
20,0,0
21,1,1
22,1,0
23,1,0
24,1,0
25,0,1
26,1,0
27,1,0
28,1,1
29,0,0
30,1,1
31,0,1
32,1,1
33,1,1
34,1,1
35,1,0
36,1,0
37,1,0
38,1,1
39,1,0
40,1,0
41,1,1
42,1,0
43,1,1
44,0,0
45,1,0
46,0,1
47,0,0
48,1,1
49,1,0
50,1,0
51,0,0
52,1,1
53,1,1
54,1,1
55,0,1
56,1,0
57,0,1
58,1,1
59,1,0
60,1,0
61,1,0
62,1,1
63,0,1
64,0,1
65,1,1
66,1,0
67,1,0
68,1,1
69,1,1
70,1,1
71,1,1
72,1,1
73,1,0
74,0,0
75,1,1
76,1,0
77,1,0
78,1,1
79,1,1
80,0,0
81,1,1
82,1,0
83,0,1
84,0,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,0
90,1,1
91,1,1
92,1,1
93,1,1
94,0,0
95,1,0
96,1,0
97,1,0
98,1,0
99,1,0
100,1,0
