id,employed,happy
1,0,1
2,1,0
3,1,0
4,1,1
5,1,1
6,1,1
7,1,0
8,1,1
9,1,0
10,0,1
11,1,1
12,1,1
13,1,0
14,1,0
15,1,1
16,1,0
17,1,0
18,1,0
19,0,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,1
25,1,0
26,1,1
27,1,0
28,1,0
29,0,0
30,1,0
31,1,1
32,1,1
33,1,1
34,1,0
35,0,0
36,1,1
37,1,1
38,1,0
39,1,1
40,1,0
41,0,1
42,1,0
43,1,0
44,0,0
45,1,0
46,0,1
47,1,1
48,0,1
49,0,0
50,1,0
51,1,1
52,1,0
53,1,1
54,1,1
55,1,0
56,1,0
57,1,1
58,1,1
59,1,1
60,0,1
61,0,1
62,1,0
63,1,0
64,1,1
65,1,1
66,1,1
67,0,1
68,1,0
69,1,1
70,1,0
71,1,0
72,1,1
73,0,1
74,1,1
75,1,1
76,1,1
77,1,0
78,1,0
79,1,1
80,1,1
81,1,0
82,1,0
83,1,1
84,1,0
85,1,1
86,1,0
87,1,1
88,1,0
89,1,0
90,1,0
91,1,0
92,1,1
93,1,0
94,0,1
95,1,1
96,1,0
97,0,1
98,1,0
99,1,0
100,0,0
